news_type,true,fav,important,anger,anxiety,funny,informative,familiar,demrep_c,concordant,age,gender,education,income,social_conserv,economic_conserv,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
1,2,6,4,1,2,2,3,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
1,5,6,6,5,5,1,4,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
1,1,5,6,6,5,1,5,1,3,2,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
1,3,6,6,4,5,1,5,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
1,4,3,2,1,1,4,1,1,3,4,47.0,1.0,0.0,0.0,1,3,0,1,0,0,0,0,0
1,4,1,5,3,3,1,5,2,3,6,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
0,4,6,4,3,4,1,4,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
0,4,4,3,2,1,1,3,1,3,3,47.0,1.0,0.0,0.0,1,3,0,1,0,0,0,0,0
0,4,2,5,1,2,1,4,2,3,5,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
0,6,2,6,2,5,1,4,4,3,5,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
0,5,4,4,1,1,1,3,1,3,3,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
2,2,6,4,2,2,1,3,1,3,1,47.0,1.0,0.0,0.0,1,3,0,1,0,0,0,0,0
2,4,3,4,3,4,1,3,1,3,4,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
2,4,2,2,1,1,1,3,1,3,5,47.0,1.0,0.0,0.0,1,3,0,1,0,0,0,0,0
2,2,6,4,2,3,1,3,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
2,6,6,6,4,5,1,3,3,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
2,4,6,4,2,3,1,4,1,3,1,47.0,1.0,0.0,0.0,1,3,1,1,0,0,0,0,0
1,1,6,6,1,1,6,1,1,3,1,25.0,0.0,0.0,1.0,3,3,1,1,0,0,0,0,0
1,1,1,1,1,1,4,1,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
1,1,1,1,4,1,2,1,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
1,5,4,6,1,1,1,6,5,3,3,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
1,5,6,1,1,1,1,3,1,3,1,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
1,1,5,1,1,1,2,1,1,3,2,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,3,3,4,1,1,1,1,1,3,4,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,1,4,1,1,1,1,1,1,3,3,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,1,1,4,1,1,1,1,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,1,1,4,5,3,1,3,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,1,1,1,1,1,1,3,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
0,2,1,4,1,1,1,4,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,4,4,5,6,4,1,2,1,3,3,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,1,5,1,3,1,3,1,1,3,2,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,1,1,5,4,1,4,1,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,1,4,1,1,1,1,1,1,3,3,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,1,4,1,1,1,1,1,1,3,3,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,3,6,25.0,0.0,0.0,1.0,3,3,0,1,0,0,0,0,0
1,1,6,6,4,3,1,3,1,3,1,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
1,1,1,6,5,4,1,4,1,3,6,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
1,1,2,6,4,5,1,4,1,3,5,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
0,5,3,5,4,4,1,4,3,3,4,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
0,4,3,5,4,4,1,3,1,3,4,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
0,6,4,4,4,4,1,5,4,3,3,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
0,3,4,3,2,2,1,2,1,3,3,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
0,4,4,3,3,3,1,3,1,3,3,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
0,4,4,4,4,4,1,4,2,3,3,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
0,4,3,3,2,3,2,3,2,3,4,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
0,4,3,4,4,3,1,3,1,3,4,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
0,4,3,3,3,4,1,4,2,3,4,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
2,3,4,2,4,3,1,3,1,3,3,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
2,1,6,4,5,3,1,2,1,3,1,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
2,4,2,4,4,3,1,4,2,3,5,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
2,4,2,4,4,3,4,2,1,3,5,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
2,2,4,5,3,3,1,2,1,3,3,42.0,0.0,0.0,0.0,2,3,1,1,0,0,0,0,0
2,4,5,2,4,3,2,2,1,3,2,42.0,0.0,0.0,0.0,2,3,0,1,0,0,0,0,0
1,1,5,5,5,5,1,3,1,2,2,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,1,5,5,5,5,1,4,1,2,2,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,2,4,5,5,5,1,4,1,2,3,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,2,3,5,3,4,1,3,1,2,4,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,3,5,4,3,4,1,3,1,2,2,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,2,2,5,5,5,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,1,2,5,4,5,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,1,1,0,0,0,0,0
1,1,2,5,5,5,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,1,1,0,0,0,0,0
1,5,1,5,1,1,1,4,1,2,6,36.0,1.0,1.0,1.0,2,2,1,1,0,0,0,0,0
0,4,2,5,5,5,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
0,5,2,5,4,4,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,2,4,2,2,2,3,2,1,2,3,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,2,4,4,4,4,1,3,1,2,3,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,2,2,2,1,3,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,2,2,5,5,5,1,4,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,5,2,4,3,4,1,4,1,2,5,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
2,5,2,5,3,5,1,3,1,2,5,36.0,1.0,1.0,1.0,2,2,1,1,0,0,0,0,0
2,5,3,4,3,4,1,3,1,2,4,36.0,1.0,1.0,1.0,2,2,0,1,0,0,0,0,0
1,1,6,6,4,1,1,2,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,6,1,1,1,3,1,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,4,1,1,1,1,1,1,3,3,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,6,1,6,4,1,1,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,4,6,6,6,1,2,1,3,3,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,1,6,1,1,1,2,1,3,6,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,5,1,1,1,1,2,1,3,2,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,1,1,1,1,5,1,1,3,6,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,4,1,1,4,1,2,2,1,3,6,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
0,3,5,4,1,1,1,1,1,3,2,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
